idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
24990,1254,621,Ingredientes,coco,0,0
21366,1259,621,Ingredientes,banana,0,0
25057,1260,621,Ingredientes,fruto,0,0
25084,1264,621,Ingredientes,legume,0,0
25058,1968,621,Ingredientes,marisco,0,0
24807,1970,621,Ingredientes,arroz,0,0
21577,1977,621,Ingredientes,tapioca,0,0
24951,1979,621,Ingredientes,carne,0,0
24939,1987,621,Ingredientes,canela,0,0
25056,2031,621,Ingredientes,fruta,0,0
25221,2076,621,Ingredientes,tomate,0,0
21507,6838,621,Ingredientes,mangaba,0,0
23894,6840,621,Ingredientes,bacuri,0,0
24820,9316,621,Ingredientes,bife,0,0
25145,9419,621,Ingredientes,picanha,0,0
24802,9430,621,Ingredientes,bacon,0,0
27041,116853,638,Sucesso_ou_falha,conseguir,0,0
29041,117134,638,Sucesso_ou_falha,perder,0,0
30842,116843,674,Retirar_da_participação,withdraw,0,0
26933,120820,679,Redirecionar,desviar,0,0
44395,6650,690,Origem_indígena,nativo,0,0
26789,120625,698,Importar,importar,0,0
50855,65392,715,Valor_extremo,mínimo,0,0
26097,67108,721,Abundância,rico,0,0
26096,71101,721,Abundância,abundante,0,0
29356,6580,729,Sistema,sistema,0,0
26709,120706,753,Mudar_direção,virar,0,0
19212,6704,757,Criar_representação,foto,0,0
32389,117318,774,Mudar_estado_operacional,ligar,0,0
40484,163,791,Dinheiro,cartão,0,0
16646,173,810,Coincidência,chance,0,0
39402,9431,826,Ter_ou_carecer_de_acesso,acesso,0,0
44569,117134,829,Ganhos_e_perdas,perder,0,0
30866,2114,833,Locais_políticos_relacionais,capital,0,0
24534,27981,834,Tendência,moda,0,0
51037,69838,840,Colocação_temporal,enquanto,0,0
16890,590,849,Fazer_turismo,tour,0,0
25400,610,849,Fazer_turismo,turismo,0,0
25404,621,849,Fazer_turismo,visita,0,0
25407,6690,849,Fazer_turismo,vista,0,0
25403,8746,849,Fazer_turismo,ver,0,0
25406,116845,849,Fazer_turismo,visitar,0,0
25393,116992,849,Fazer_turismo,apreciar,0,0
51081,65334,860,Quantidade_proporcional,muito,0,0
51082,66314,860,Quantidade_proporcional,pouco,0,0
51068,139797,860,Quantidade_proporcional,quase,0,0
51070,140085,860,Quantidade_proporcional,aproximadamente,0,0
51075,146588,860,Quantidade_proporcional,"cerca de",0,0
17006,173,867,Possibilidades,chance,0,0
17017,310,881,Versão_sequência,final,0,0
19285,11453,884,Grau,grande,0,0
44615,76632,884,Grau,bastante,0,0
51124,139797,884,Grau,quase,0,0
31001,16793,890,Caça_sucesso_ou_fracasso,catch,0,0
25275,14,908,Abandonar,abandono,0,0
25274,73950,908,Abandonar,abandonado,0,0
25273,116851,908,Abandonar,abandonar,0,0
26904,8064,941,Possibilidade,poder,0,0
39250,62145,941,Possibilidade,dever,0,0
39408,62317,942,Relação_de_duração,durante,0,0
33033,34164,948,Sequência,série,0,0
42771,66401,948,Sequência,primeiro,0,0
51173,147120,955,Concessão,"no entanto",0,0
51266,23778,1032,Ações_políticas,greve,0,0
44818,9645,1033,Estilo_artístico,visual,0,0
51268,142502,1034,Circunstâncias_contrárias,"apesar de",0,0
19286,11453,1043,Notabilidade,grande,0,0
25487,6569,1046,Modo_de_viver,vida,0,0
24461,9536,1046,Modo_de_viver,deficiente,0,0
43070,7393,1140,Nível_de_luz,luz,0,0
42171,29141,1155,Intervenção_em_saúde,orientação,0,0
29612,6844,1184,Animais,fauna,0,0
29618,8719,1184,Animais,gato,0,0
29656,8720,1184,Animais,vaca,0,0
29611,8726,1184,Animais,elefante,0,0
29654,8731,1184,Animais,tigre,0,0
29626,10651,1184,Animais,lobo,0,0
29629,10776,1184,Animais,mosquito,0,0
29651,11006,1184,Animais,raposa,0,0
40471,13801,1187,Plantas,arbusto,0,0
29358,139774,1189,Negação,nunca,0,0
51528,139544,1191,Contato_espacial,"em cima",0,0
51531,671,1192,Adjacência,vizinho,0,0
51533,64599,1193,Proximidade_graduável,longe,0,0
22477,2137,1200,Relação_locativa_direcional,sul,0,0
22468,139829,1200,Relação_locativa_direcional,acima,0,0
20803,116842,1210,Serviço_turístico_comprar,comprar,0,0
20802,117037,1210,Serviço_turístico_comprar,contratar,0,0
20809,117258,1211,Serviço_turístico_vender,proporcionar,0,0
20805,117122,1213,Serviço_turístico_pagar,pagar,0,0
20801,117023,1215,Serviço_turístico_receber,cobrar,0,0
25247,172,1220,Acomodação,chalé,0,0
19855,649,1220,Acomodação,motel,0,0
20646,6818,1220,Acomodação,apartamento,0,0
26022,493,1222,Potencial_turístico,"potencial turístico",0,0
26021,116959,1222,Potencial_turístico,concentrar,0,0
26026,117205,1222,Potencial_turístico,existir,0,0
26027,117283,1222,Potencial_turístico,encontrar,0,0
19265,6721,1223,Atrair_turistas,destino,0,0
23944,117154,1223,Atrair_turistas,reservar,0,0
588,36973,1225,Cenário_do_turismo_estada,estar,0,0
25496,457,1226,Cenário_do_turismo_partida,partida,0,0
20751,637,1231,Transporte,"transporte público",0,0
20743,60143,1231,Transporte,aéreo,0,0
704,310,1238,Final,final,0,0
872,117033,1238,Final,conquistar,0,0
870,117134,1238,Final,perder,0,0
20756,2134,1240,Turismo_de_atração,ecoturismo,0,0
20754,6708,1240,Turismo_de_atração,agroturismo,0,0
20478,116,1253,Serviços_em_alimentação,bar,0,0
2937,901,1253,Serviços_em_alimentação,café,0,0
2936,902,1253,Serviços_em_alimentação,cafeteria,0,0
20998,916,1253,Serviços_em_alimentação,supermercado,0,0
20975,2025,1253,Serviços_em_alimentação,mercado,0,0
25287,6832,1259,Atividades_do_turista,tirolesa,0,0
1017,414,1260,Comissão_técnica,médico,0,0
20806,514,1263,Serviço_turístico_reservar,reserva,0,0
20807,117154,1263,Serviço_turístico_reservar,reservar,0,0
1022,483,1264,Polícia,polícia,0,0
