idLU,idLemma,idFrame,frameName,lu,as
19450,116,169,Subpartes_de_prédios,bar,1
20667,116,169,Subpartes_de_prédios,bar,-
19451,521,169,Subpartes_de_prédios,restaurante,-
20673,521,169,Subpartes_de_prédios,restaurante,-
24009,787,169,Subpartes_de_prédios,corredor,-
22518,787,169,Subpartes_de_prédios,corredor,19
19076,873,169,Subpartes_de_prédios,piscina,3
19204,873,169,Subpartes_de_prédios,piscina,-
45970,901,169,Subpartes_de_prédios,café,-
22145,901,169,Subpartes_de_prédios,café,-
45971,902,169,Subpartes_de_prédios,cafeteria,-
22147,902,169,Subpartes_de_prédios,cafeteria,-
19447,970,169,Subpartes_de_prédios,academia,2
20665,970,169,Subpartes_de_prédios,academia,-
20678,6818,169,Subpartes_de_prédios,apartamento,-
22504,6818,169,Subpartes_de_prédios,apartamento,5
19449,6853,169,Subpartes_de_prédios,spa,-
22156,6853,169,Subpartes_de_prédios,spa,-
20675,6853,169,Subpartes_de_prédios,spa,-
22510,8622,169,Subpartes_de_prédios,cantina,-
24006,8622,169,Subpartes_de_prédios,cantina,-
22523,8634,169,Subpartes_de_prédios,elevador,-
24013,8634,169,Subpartes_de_prédios,elevador,-
24024,8635,169,Subpartes_de_prédios,sala de estar,-
22524,8635,169,Subpartes_de_prédios,sala de estar,2
40365,8636,169,Subpartes_de_prédios,andar,3
22525,8636,169,Subpartes_de_prédios,andar,16
22528,8639,169,Subpartes_de_prédios,vestíbulo,-
24022,8639,169,Subpartes_de_prédios,vestíbulo,-
24016,8648,169,Subpartes_de_prédios,ludoteca,-
22537,8648,169,Subpartes_de_prédios,ludoteca,-
24011,8651,169,Subpartes_de_prédios,depósito,-
22540,8651,169,Subpartes_de_prédios,depósito,1
22547,8657,169,Subpartes_de_prédios,torre,1
24004,8657,169,Subpartes_de_prédios,torre,-
32333,17077,169,Subpartes_de_prédios,chambre,-
37264,17077,169,Subpartes_de_prédios,chambre,-
31989,38376,169,Subpartes_de_prédios,toilette,1
38163,38376,169,Subpartes_de_prédios,toilette,1
24099,73932,169,Subpartes_de_prédios,térreo,1
48368,73932,169,Subpartes_de_prédios,térreo,-
45980,654,170,Massa_quantificada,avalanche,-
8877,654,170,Massa_quantificada,avalanche,-
32960,65334,170,Massa_quantificada,muito,21
48383,65334,170,Massa_quantificada,muito,-
39599,66069,170,Massa_quantificada,pesar,3
41383,66069,170,Massa_quantificada,pesar,-
48371,66314,170,Massa_quantificada,pouco,-
39373,66314,170,Massa_quantificada,pouco,10
32959,86374,170,Massa_quantificada,nenhum,19
48389,86374,170,Massa_quantificada,nenhum,-
42452,88355,170,Massa_quantificada,qualquer,7
45985,88355,170,Massa_quantificada,qualquer,-
48385,139245,170,Massa_quantificada,vários,-
48384,139245,170,Massa_quantificada,vários,-
20831,25,171,Locais_naturais,monte,-
1669,25,171,Locais_naturais,monte,2
25729,154,171,Locais_naturais,campo,-
25727,154,171,Locais_naturais,campo,5
20825,514,171,Locais_naturais,reserva,-
19354,514,171,Locais_naturais,reserva,-
1666,715,171,Locais_naturais,morro,5
19094,715,171,Locais_naturais,morro,-
1667,716,171,Locais_naturais,lago,5
20836,716,171,Locais_naturais,lago,-
1673,720,171,Locais_naturais,vale,2
30683,720,171,Locais_naturais,vale,-
1674,721,171,Locais_naturais,canal,2
20814,721,171,Locais_naturais,canal,-
20842,726,171,Locais_naturais,gruta,-
1679,726,171,Locais_naturais,gruta,5
1682,729,171,Locais_naturais,península,-
20828,729,171,Locais_naturais,península,-
1688,734,171,Locais_naturais,arrecife,-
20820,734,171,Locais_naturais,arrecife,-
1690,736,171,Locais_naturais,bosque,5
25713,736,171,Locais_naturais,bosque,-
19031,874,171,Locais_naturais,mar,45
20832,874,171,Locais_naturais,mar,-
25412,6545,171,Locais_naturais,mundo,11
25720,6545,171,Locais_naturais,mundo,-
19009,6666,171,Locais_naturais,caudal,1
25714,6666,171,Locais_naturais,caudal,-
19201,6689,171,Locais_naturais,parque,-
19065,6689,171,Locais_naturais,parque,10
25724,6828,171,Locais_naturais,pantanal,-
19339,6828,171,Locais_naturais,pantanal,1
19344,6831,171,Locais_naturais,chapada,1
20838,6831,171,Locais_naturais,chapada,-
21020,7048,171,Locais_naturais,parque ecológico,-
19787,7048,171,Locais_naturais,parque ecológico,-
19791,7051,171,Locais_naturais,parque nacional,-
21022,7051,171,Locais_naturais,parque nacional,-
20826,7066,171,Locais_naturais,reserva natural,-
19806,7066,171,Locais_naturais,reserva natural,-
46000,7346,171,Locais_naturais,continental,-
20818,7346,171,Locais_naturais,continental,-
9023,7346,171,Locais_naturais,continental,-
46004,26133,171,Locais_naturais,lava,-
33772,26133,171,Locais_naturais,lava,1
25747,36766,171,Locais_naturais,hidrotermal,-
25748,36766,171,Locais_naturais,hidrotermal,-
25725,73992,171,Locais_naturais,paradisíaco,-
25726,73992,171,Locais_naturais,paradisíaco,-
24325,73992,171,Locais_naturais,paradisíaco,-
25455,76,172,Local,área,-
19079,76,172,Local,área,40
25463,956,172,Local,lugar,-
1959,956,172,Local,lugar,159
46010,957,172,Local,local,-
1960,957,172,Local,local,49
25462,957,172,Local,local,-
39493,957,172,Local,local,-
32712,2039,172,Local,terra,10
40422,2039,172,Local,terra,8
3761,2052,172,Local,região,83
43121,2052,172,Local,região,-
25464,6559,172,Local,periferia,-
18671,6559,172,Local,periferia,3
18757,6585,172,Local,planeta,13
25466,6585,172,Local,planeta,-
19346,6688,172,Local,centro,16
25459,6688,172,Local,centro,-
27907,7384,172,Local,terreno,-
26819,7384,172,Local,terreno,-
25454,9458,172,Local,ambiente,-
24231,9458,172,Local,ambiente,21
38470,9458,172,Local,ambiente,4
24722,9695,172,Local,zona,13
25456,9695,172,Local,zona,-
27911,10730,172,Local,núcleo,-
26287,10730,172,Local,núcleo,1
27402,11536,172,Local,mancha,2
27913,11536,172,Local,mancha,-
25764,73926,172,Local,urbano,9
25765,73926,172,Local,urbano,-
1612,696,173,Área_biológica,mato,1
19262,696,173,Área_biológica,mato,-
9160,957,175,Locais_políticos,local,-
46025,957,175,Locais_políticos,local,-
18987,2114,175,Locais_políticos,capital,12
21853,2114,175,Locais_políticos,capital,1
20771,2114,175,Locais_políticos,capital,-
34173,2114,175,Locais_políticos,capital,1
20781,6545,175,Locais_políticos,mundo,-
18604,6545,175,Locais_políticos,mundo,89
20789,6583,175,Locais_políticos,país,-
18753,6583,175,Locais_políticos,país,147
20773,6657,175,Locais_políticos,estado,2
18992,6657,175,Locais_políticos,estado,47
19169,6735,175,Locais_políticos,distrito,5
20772,6735,175,Locais_políticos,distrito,-
20785,6741,175,Locais_políticos,nacional,-
46027,6741,175,Locais_políticos,nacional,-
25742,9563,175,Locais_políticos,favela,-
25743,9563,175,Locais_políticos,favela,-
25741,9563,175,Locais_políticos,favela,2
26155,10658,175,Locais_políticos,principado,-
26156,10658,175,Locais_políticos,principado,-
46024,64117,175,Locais_políticos,internacional,-
20776,64117,175,Locais_políticos,internacional,1
20782,65355,175,Locais_políticos,municipal,-
9162,65355,175,Locais_políticos,municipal,-
19025,65355,175,Locais_políticos,municipal,5
48503,66484,175,Locais_políticos,provincial,-
9180,66484,175,Locais_políticos,provincial,-
46032,154,176,Locais_por_uso,campo,-
25756,154,176,Locais_por_uso,campo,-
46049,721,176,Locais_por_uso,canal,-
9232,721,176,Locais_por_uso,canal,-
46051,888,176,Locais_por_uso,zoo,-
9239,888,176,Locais_por_uso,zoo,-
21883,2132,176,Locais_por_uso,interior,-
3898,2132,176,Locais_por_uso,interior,2
19208,6688,176,Locais_por_uso,centro,-
46035,6688,176,Locais_por_uso,centro,-
21041,7035,176,Locais_por_uso,monumento,-
19772,7035,176,Locais_por_uso,monumento,32
21045,7075,176,Locais_por_uso,sindicato,-
19817,7075,176,Locais_por_uso,sindicato,-
37461,8577,176,Locais_por_uso,classe,-
32717,8577,176,Locais_por_uso,classe,-
25738,9333,176,Locais_por_uso,chafariz,-
24340,9333,176,Locais_por_uso,chafariz,2
24902,9786,176,Locais_por_uso,meca,2
25760,9786,176,Locais_por_uso,meca,-
9190,67192,176,Locais_por_uso,rural,-
33375,67192,176,Locais_por_uso,rural,5
26545,59960,177,Anexar,atar,-
48560,59960,177,Anexar,atar,-
40063,38440,178,Agir_intencionalmente,feito,4
32168,38440,178,Agir_intencionalmente,feito,11
20163,7346,179,Relação_locativa,continental,-
20164,7346,179,Relação_locativa,continental,-
31352,33516,179,Relação_locativa,sobre,33
26838,33516,179,Relação_locativa,sobre,-
20176,63148,179,Relação_locativa,fora,19
46080,63148,179,Relação_locativa,fora,-
20167,66061,179,Relação_locativa,perto,21
48570,66061,179,Relação_locativa,perto,-
9344,68520,179,Relação_locativa,underground,-
9341,68520,179,Relação_locativa,underground,-
48571,139823,179,Relação_locativa,acima do solo,-
20142,139823,179,Relação_locativa,acima do solo,-
20144,139825,179,Relação_locativa,ao longo de,3
48583,139825,179,Relação_locativa,ao longo de,-
46078,139830,179,Relação_locativa,para cima,-
20193,139830,179,Relação_locativa,para cima,-
46079,139903,179,Relação_locativa,abaixo,-
39971,139903,179,Relação_locativa,abaixo,5
48589,142510,179,Relação_locativa,no ar,-
29482,142510,179,Relação_locativa,no ar,-
