idFrameElement,idEntity,frameName,feName,property_name,related_class,quantifier,cardinality,match_count
14478,2747778,SpatioTemporalRegion,Constitution,has_constituent,Region,only,,1
14479,2747779,SpatioTemporalRegion,Constitution,has_constituent,Region,only,,1
14481,2747781,SpatioTemporalRegion,Overlap,overlaps,Region,only,,1
14480,2747780,SpatioTemporalRegion,Parthood,has_part,Region,only,,1
14482,2747782,SpatioTemporalRegion,Sequence,precedes,Region,only,,1
14487,2747787,Substance,Classification,is_classified_by,Role,only,,1
14483,2747783,Substance,Constitution,has_constituent,Object,only,,1
14484,2747784,Substance,Location,has_location,Entity,some,,1
14485,2747785,Substance,Parthood,has_part,Object,only,,1
14486,2747786,Substance,Parthood,has_part,Object,only,,1
14488,2747788,Substance,Participation,is_participant_in,Event,some,,1
14489,2747789,Task,Classification,classifies,Event,only,,1
14496,2747796,Task,Classification,classifies,Event,only,,1
14490,2747790,Task,Constitution,has_constituent,Object,only,,1
14497,2747797,Task,Definition,is_defined_in,Description,some,,1
14498,2747798,Task,Execution,is_executed_in,Action,only,,1
14499,2747799,Task,Expression,is_expressed_by,InformationObject,some,,1
14491,2747791,Task,Location,has_location,Entity,some,,1
14492,2747792,Task,Parthood,is_participant_in,Event,some,,1
14493,2747793,Task,Parthood,is_participant_in,Event,some,,1
14494,2747794,Task,Parthood,is_participant_in,Event,some,,1
14495,2747795,Task,Parthood,is_participant_in,Event,some,,1
14500,2747800,Task,Participation,is_participant_in,Event,some,,1
14502,2747802,Task,Task_attribution,is_task_of,Role,only,,1
14501,2747801,Task,Task_definition,is_task_defined_in,Description,only,,1
14508,2747808,Theory,Classification,is_classified_by,Role,only,,1
14503,2747803,Theory,Composition,has_component,Relation,some,,1
14504,2747804,Theory,Constitution,has_constituent,Object,only,,1
14509,2747809,Theory,Expression,is_expressed_by,InformationObject,some,,1
14505,2747805,Theory,Location,has_location,Entity,some,,1
14506,2747806,Theory,Parthood,has_part,Object,only,,1
14507,2747807,Theory,Parthood,has_part,Object,only,,1
14510,2747810,Theory,Participation,is_participant_in,Event,some,,1
14512,2747812,"Time interval",Constitution,has_constituent,Region,only,,1
14514,2747814,"Time interval",Overlap,overlaps,Region,only,,1
14513,2747813,"Time interval",Parthood,has_part,Region,only,,1
14515,2747815,"Time interval",Sequence,precedes,Region,only,,1
14511,2747811,"Time-indexed relation",Setting,is_setting_for,Time interval,,,0
14516,2747816,Transition,Event_inclusion,includes_event,Event,some,,1
14517,2747817,Transition,Object_inclusion,includes_object,Object,some,,1
14520,2747820,Transition,Satisfaction,satisfies,Description,some,,1
14518,2747818,Transition,Setting,is_setting_for,Process,some,,1
14519,2747819,Transition,Setting,is_setting_for,Process,some,,1
14526,2747826,"Type collection",Classification,is_classified_by,Role,only,,1
14521,2747821,"Type collection",Constitution,has_constituent,Object,only,,1
14527,2747827,"Type collection",Expression,is_expressed_by,InformationObject,some,,1
